Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771346268201,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.45458984375,39.60979080200195,39.570472717285156,41.991458892822266,42.01499938964844,0,0,0,0,0,0,0,0,0,0,0,5.599186420440674,19327352832,0,10629201920,0
204,1771346268201,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.45458984375,39.60979080200195,39.570472717285156,41.991458892822266,42.01499938964844,NaN,NaN,0,NaN,0,NaN,50,0,NaN,0,NaN,5.599186420440674,19327352832,0,10629201920,0
204,1771346268406,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.45458984375,39.60979080200195,39.570472717285156,41.991458892822266,42.01499938964844,33.333335876464844,30.000001907348633,40,19.047618865966797,15.000000953674316,10,5.263157844543457,15.789472579956055,42.85714340209961,36.842105865478516,23.809524536132813,5.599186420440674,19327352832,0,10629201920,0
202,1771346268611,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.5,40.23591613769531,40.52350997924805,40.474735260009766,43.35169982910156,42.32935333251953,15.000000953674316,10,14.285715103149414,5.263157844543457,5,5,4.761904716491699,19.047618865966797,19.047618865966797,80.95238494873047,15.000000953674316,5.599186420440674,19327352832,0,10732945408,0
204,1771346268813,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.5,40.23591613769531,40.52350997924805,40.474735260009766,43.35169982910156,42.32935333251953,10,10,30.000001907348633,4.761904716491699,0,0,0,15.000000953674316,10,60.000003814697266,0,5.599186420440674,19327352832,0,10740121600,0
7,1771346269018,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.5,40.23591613769531,40.52350997924805,40.474735260009766,43.35169982910156,42.32935333251953,19.047618865966797,14.285715103149414,10,5,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,23.809524536132813,10,4.761904716491699,5.950329303741455,19327352832,0,10641768448,0
