Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771430255894,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.069576263427734,40.1864128112793,39.98064422607422,42.4647102355957,42.377952575683594,100,0,0,0,50,100,0,0,0,0,0,5.73623514175415,19327352832,0,10040705024,0
204,1771430255895,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.069576263427734,40.1864128112793,39.98064422607422,42.4647102355957,42.377952575683594,0,NaN,0,NaN,0,100,0,0,0,0,0,5.73623514175415,19327352832,0,10040705024,0
204,1771430256100,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.069576263427734,40.1864128112793,39.98064422607422,42.4647102355957,42.377952575683594,35,20,19.047618865966797,28.571430206298828,15.000000953674316,5.263157844543457,23.809524536132813,60.000003814697266,40,36.842105865478516,30.000001907348633,5.73623514175415,19327352832,0,10040705024,0
204,1771430256305,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.069576263427734,40.1864128112793,39.98064422607422,42.4647102355957,42.377952575683594,60.000003814697266,55,80,45,36.842105865478516,33.333335876464844,20,80,80,77.2727279663086,80,5.685148239135742,19327352832,0,10040705024,0
200,1771430256510,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.069576263427734,40.1864128112793,39.98064422607422,42.4647102355957,42.377952575683594,89.47368621826172,85,100,78.94737243652344,68.42105102539063,52.6315803527832,47.36842346191406,100,95.45454406738281,100,100,5.685148239135742,19327352832,0,10040705024,0
204,1771430256711,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.069576263427734,40.1864128112793,39.98064422607422,42.4647102355957,42.377952575683594,61.11111068725586,50,90.47618865966797,44.4444465637207,42.105262756347656,36.842105865478516,31.57894515991211,89.47368621826172,89.47368621826172,89.47368621826172,90,5.685148239135742,19327352832,0,10357555200,0
204,1771430256916,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,50.82737731933594,49.69779586791992,49.3146858215332,56.85384750366211,46.684295654296875,42.105262756347656,31.57894515991211,84.21052551269531,31.57894515991211,21.052631378173828,20,20,89.47368621826172,88.8888931274414,85,85,5.685148239135742,19327352832,0,10600890368,0
202,1771430257121,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,50.82737731933594,49.69779586791992,49.3146858215332,56.85384750366211,46.684295654296875,27.77777862548828,36.842105865478516,78.94737243652344,25,20,15.000000953674316,15.000000953674316,85,84.21052551269531,83.33332824707031,95,5.685148239135742,19327352832,0,10622533632,0
204,1771430257324,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,50.82737731933594,49.69779586791992,49.3146858215332,56.85384750366211,46.684295654296875,35.29411697387695,22.22222328186035,84.21052551269531,16.666667938232422,15.789472579956055,0,5.263157844543457,89.47368621826172,85.71428680419922,88.8888931274414,78.94737243652344,11.445816993713379,19327352832,0,10621878272,0
204,1771430257529,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,50.82737731933594,49.69779586791992,49.3146858215332,56.85384750366211,46.684295654296875,26.3157901763916,10.526315689086914,73.68421173095703,15.000000953674316,10,9.523809432983398,4.761904716491699,80,78.94737243652344,75,78.94737243652344,11.445816993713379,19327352832,0,10746986496,0
200,1771430257737,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,50.82737731933594,49.69779586791992,49.3146858215332,56.85384750366211,46.684295654296875,25,15.789472579956055,78.94737243652344,5.263157844543457,5.263157844543457,5,0,84.21052551269531,84.21052551269531,85,84.21052551269531,11.445816993713379,19327352832,0,11095834624,0
204,1771430257938,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.328125,53.15850830078125,51.680877685546875,51.512840270996094,59.07906723022461,48.493446350097656,29.411766052246094,21.052631378173828,75,21.052631378173828,15.789472579956055,5.263157844543457,5,89.47368621826172,80,83.33332824707031,78.94737243652344,11.445816993713379,19327352832,0,11094687744,0
204,1771430258143,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.328125,53.15850830078125,51.680877685546875,51.512840270996094,59.07906723022461,48.493446350097656,26.3157901763916,16.666667938232422,83.33332824707031,10.526315689086914,19.047618865966797,15.000000953674316,5,85,83.33332824707031,89.47368621826172,80.95238494873047,11.445816993713379,19327352832,0,10942185472,0
204,1771430258347,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.328125,53.15850830078125,51.680877685546875,51.512840270996094,59.07906723022461,48.493446350097656,26.3157901763916,15.789472579956055,73.68421173095703,10.526315689086914,10.526315689086914,0,0,85,85,75,83.33332824707031,27.923372268676758,19327352832,0,10942627840,0
204,1771430258552,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.328125,53.15850830078125,51.680877685546875,51.512840270996094,59.07906723022461,48.493446350097656,26.3157901763916,25,85,23.809524536132813,11.111111640930176,5,5,89.47368621826172,83.33332824707031,83.33332824707031,89.47368621826172,27.923372268676758,19327352832,0,10942742528,0
204,1771430258757,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.328125,53.15850830078125,51.680877685546875,51.512840270996094,59.07906723022461,48.493446350097656,42.105262756347656,31.57894515991211,80,26.3157901763916,25,21.052631378173828,20,84.21052551269531,80,85.71428680419922,75,27.923372268676758,19327352832,0,10944364544,0
204,1771430258962,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,53.357852935791016,51.90766143798828,51.775482177734375,59.20211410522461,48.772430419921875,5.263157844543457,5,66.66667175292969,5,4.761904716491699,0,0,78.94737243652344,73.68421173095703,72.22222137451172,68.42105102539063,27.923372268676758,19327352832,0,10914676736,0
204,1771430259168,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,53.357852935791016,51.90766143798828,51.775482177734375,59.20211410522461,48.772430419921875,5.263157844543457,0,61.11111068725586,0,0,4.761904716491699,0,72.22222137451172,72.22222137451172,73.68421173095703,66.66667175292969,27.923372268676758,19327352832,0,10914758656,0
204,1771430259372,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,53.357852935791016,51.90766143798828,51.775482177734375,59.20211410522461,48.772430419921875,5.263157844543457,5.263157844543457,68.42105102539063,0,0,0,0,72.22222137451172,72.22222137451172,72.22222137451172,66.66667175292969,24.712278366088867,19327352832,0,10914758656,0
204,1771430259578,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,53.357852935791016,51.90766143798828,51.775482177734375,59.20211410522461,48.772430419921875,21.052631378173828,20,68.42105102539063,20,19.047618865966797,10,5,75,73.68421173095703,73.68421173095703,73.68421173095703,24.712278366088867,19327352832,0,10914758656,0
204,1771430259782,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.046875,53.357852935791016,51.90766143798828,51.775482177734375,59.20211410522461,48.772430419921875,5,9.523809432983398,95.23809814453125,0,0,0,0,28.571430206298828,9.523809432983398,10,9.523809432983398,24.712278366088867,19327352832,0,11260444672,0
204,1771430259988,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.8125,51.969093322753906,50.14842224121094,51.50052261352539,56.06316375732422,48.27195358276367,5,5,100,0,0,0,0,0,0,0,0,24.712278366088867,19327352832,0,11395973120,0
7,1771430260192,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.8125,51.969093322753906,50.14842224121094,51.50052261352539,56.06316375732422,48.27195358276367,23.809524536132813,20,47.619049072265625,15.000000953674316,14.285715103149414,0,9.523809432983398,33.333335876464844,45,10,10.526315689086914,24.712278366088867,19327352832,0,11394170880,0
