Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771346211762,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.078125,39.961280822753906,40.09657287597656,40.0029296875,42.35557174682617,42.44281768798828,0,0,0,0,0,0,0,0,0,0,0,5.629209041595459,19327352832,0,10635902976,0
204,1771346211763,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.078125,39.961280822753906,40.09657287597656,40.0029296875,42.35557174682617,42.44281768798828,100,NaN,0,50,0,100,NaN,0,NaN,0,0,5.629209041595459,19327352832,0,10635902976,0
204,1771346211967,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.078125,39.961280822753906,40.09657287597656,40.0029296875,42.35557174682617,42.44281768798828,31.57894515991211,30.000001907348633,40,20,10.526315689086914,10,5,25,30.000001907348633,42.85714340209961,25,5.602433204650879,19327352832,0,10635902976,0
204,1771346212172,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.078125,39.961280822753906,40.09657287597656,40.0029296875,42.35557174682617,42.44281768798828,19.047618865966797,19.047618865966797,19.047618865966797,10,13.636363983154297,9.523809432983398,5,20,23.809524536132813,20,75,5.602433204650879,19327352832,0,10635902976,0
204,1771346212377,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.078125,39.961280822753906,40.09657287597656,40.0029296875,42.35557174682617,42.44281768798828,10,14.285715103149414,5,10,0,0,0,0,10,9.523809432983398,90.47618865966797,5.602433204650879,19327352832,0,10635902976,0
8,1771346212582,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,43.890625,42.045352935791016,42.67436218261719,41.9914665222168,46.1922721862793,43.74114990234375,5,0,4.761904716491699,9.090909004211426,0,4.761904716491699,0,0,23.809524536132813,5,0,5.602433204650879,19327352832,0,10629496832,0
