Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771346178858,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.42447280883789,40.56635665893555,40.43578338623047,42.886558532714844,42.72793197631836,0,NaN,0,50,0,0,0,0,0,0,0,5.5875563621521,19327352832,0,10633920512,0
204,1771346178859,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.42447280883789,40.56635665893555,40.43578338623047,42.886558532714844,42.72793197631836,NaN,0,0,100,100,NaN,NaN,0,0,0,0,5.5875563621521,19327352832,0,10633920512,0
204,1771346179064,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.42447280883789,40.56635665893555,40.43578338623047,42.886558532714844,42.72793197631836,19.047618865966797,14.285715103149414,42.85714340209961,5,4.761904716491699,0,4.545454502105713,35,45,45,15.000000953674316,5.5758562088012695,19327352832,0,10633920512,0
7,1771346179269,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.42447280883789,40.56635665893555,40.43578338623047,42.886558532714844,42.72793197631836,19.047618865966797,10,21.052631378173828,4.761904716491699,0,45,0,23.809524536132813,20,19.047618865966797,14.285715103149414,5.5758562088012695,19327352832,0,10633920512,0
