Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771430387701,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.046875,40.196346282958984,40.58464050292969,40.15061950683594,42.794273376464844,42.6345329284668,0,0,0,100,0,0,0,0,0,0,0,7.516717433929443,19327352832,0,10359963648,0
204,1771430387702,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,39.046875,40.196346282958984,40.58464050292969,40.15061950683594,42.794273376464844,42.6345329284668,100,100,0,0,NaN,NaN,0,NaN,NaN,0,NaN,7.516717433929443,19327352832,0,10359963648,0
202,1771430387907,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,40.955299377441406,41.20511245727539,40.73387145996094,43.78790283203125,42.958683013916016,40,31.57894515991211,25,15.789472579956055,14.285715103149414,10,0,47.619049072265625,40,50,31.57894515991211,7.516717433929443,19327352832,0,10359963648,0
7,1771430388109,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,40.955299377441406,41.20511245727539,40.73387145996094,43.78790283203125,42.958683013916016,40,35,19.047618865966797,25,15.000000953674316,15.000000953674316,10,40,47.619049072265625,21.052631378173828,33.333335876464844,7.516717433929443,19327352832,0,10359963648,0
