Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771346189685,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.8125,40.160438537597656,40.5516357421875,40.1467170715332,42.7640495300293,42.620609283447266,100,NaN,0,NaN,0,0,0,0,0,0,0,5.576368808746338,19327352832,0,10632937472,0
204,1771346189685,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.8125,40.160438537597656,40.5516357421875,40.1467170715332,42.7640495300293,42.620609283447266,NaN,100,NaN,0,100,0,0,0,0,0,0,5.576368808746338,19327352832,0,10632937472,0
204,1771346189890,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.8125,40.160438537597656,40.5516357421875,40.1467170715332,42.7640495300293,42.620609283447266,15.000000953674316,14.285715103149414,33.333335876464844,5,4.761904716491699,0,0,50,55,40,0,5.572507381439209,19327352832,0,10632937472,0
7,1771346190096,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.8125,40.160438537597656,40.5516357421875,40.1467170715332,42.7640495300293,42.620609283447266,9.523809432983398,5,25,9.090909004211426,5,0,0,20,26.3157901763916,14.285715103149414,10,5.572507381439209,19327352832,0,10632937472,0
