Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771430619288,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,41.940940856933594,42.0792121887207,41.85041427612305,44.170318603515625,44.26863098144531,100,100,0,100,NaN,NaN,0,0,0,0,0,6.17958402633667,19327352832,0,11119050752,0
202,1771430619288,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,41.940940856933594,42.0792121887207,41.85041427612305,44.170318603515625,44.26863098144531,NaN,100,NaN,NaN,100,0,50,NaN,100,0,0,6.17958402633667,19327352832,0,11119050752,0
204,1771430619491,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,41.940940856933594,42.0792121887207,41.85041427612305,44.170318603515625,44.26863098144531,66.66667175292969,66.66667175292969,57.142860412597656,66.66667175292969,52.38095474243164,50,57.894737243652344,36.842105865478516,42.105262756347656,45,38.095237731933594,6.17958402633667,19327352832,0,11168268288,0
202,1771430619696,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,41.940940856933594,42.0792121887207,41.85041427612305,44.170318603515625,44.26863098144531,63.15789031982422,55,76.19047546386719,61.904762268066406,50,40,45,81.81818389892578,76.19047546386719,80,75,6.17958402633667,19327352832,0,11168268288,0
204,1771430619898,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,47.004058837890625,46.35090255737305,46.50409698486328,50.71976089477539,46.12013244628906,45,36.842105865478516,94.73684692382813,38.88888931274414,31.57894515991211,35,23.809524536132813,94.73684692382813,94.44444274902344,95,90,6.17958402633667,19327352832,0,11168268288,0
203,1771430620103,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,47.004058837890625,46.35090255737305,46.50409698486328,50.71976089477539,46.12013244628906,60.000003814697266,52.6315803527832,75,55,42.85714340209961,40,36.842105865478516,84.21052551269531,80.95238494873047,75,84.21052551269531,6.17958402633667,19327352832,0,11168268288,0
204,1771430620307,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,47.004058837890625,46.35090255737305,46.50409698486328,50.71976089477539,46.12013244628906,70,35,5,19.047618865966797,0,5,0,25,0,10,0,6.848043441772461,19327352832,0,11168268288,0
201,1771430620514,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,47.004058837890625,46.35090255737305,46.50409698486328,50.71976089477539,46.12013244628906,75,38.095237731933594,0,25,10,5,4.545454502105713,0,0,0,0,6.848043441772461,19327352832,0,11315478528,0
201,1771430620718,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,46.296875,47.004058837890625,46.35090255737305,46.50409698486328,50.71976089477539,46.12013244628906,60.000003814697266,55,0,40,28.571430206298828,19.047618865966797,25,0,0,0,0,6.848043441772461,19327352832,0,11262345216,0
201,1771430620922,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.25,48.06110382080078,47.25735092163086,47.01200485229492,51.39116287231445,47.497806549072266,25,30.000001907348633,0,10,10,10,0,0,0,0,0,6.848043441772461,19327352832,0,11166793728,0
197,1771430621125,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.25,48.06110382080078,47.25735092163086,47.01200485229492,51.39116287231445,47.497806549072266,50,25,0,28.571430206298828,5,19.047618865966797,0,0,0,0,0,6.848043441772461,19327352832,0,11166793728,0
197,1771430621325,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.25,48.06110382080078,47.25735092163086,47.01200485229492,51.39116287231445,47.497806549072266,20,10.526315689086914,0,5.263157844543457,4.761904716491699,0,0,0,0,0,0,22.48446273803711,19327352832,0,11166793728,0
202,1771430621525,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.25,48.06110382080078,47.25735092163086,47.01200485229492,51.39116287231445,47.497806549072266,19.047618865966797,9.523809432983398,0,9.523809432983398,0,0,0,0,0,0,0,22.48446273803711,19327352832,0,11148558336,0
201,1771430621730,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,47.25,48.06110382080078,47.25735092163086,47.01200485229492,51.39116287231445,47.497806549072266,15.789472579956055,19.047618865966797,4.761904716491699,0,0,4.761904716491699,4.761904716491699,0,4.761904716491699,0,0,22.48446273803711,19327352832,0,11055349760,0
