Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771345857861,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.625,38.68285369873047,38.804195404052734,38.62437438964844,41.233848571777344,41.13488006591797,50,50,0,0,0,0,0,0,0,0,0,5.576671600341797,19327352832,0,11272142848,0
201,1771345857861,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.625,38.68285369873047,38.804195404052734,38.62437438964844,41.233848571777344,41.13488006591797,100,NaN,0,NaN,0,0,0,0,0,0,0,5.576671600341797,19327352832,0,11272257536,0
204,1771345858063,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.625,38.68285369873047,38.804195404052734,38.62437438964844,41.233848571777344,41.13488006591797,31.57894515991211,30.000001907348633,36.842105865478516,20,15.000000953674316,15.000000953674316,14.285715103149414,21.052631378173828,45.45454788208008,42.85714340209961,23.809524536132813,5.5982465744018555,19327352832,0,11339595776,0
7,1771345858269,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,36.625,38.68285369873047,38.804195404052734,38.62437438964844,41.233848571777344,41.13488006591797,23.809524536132813,15.000000953674316,23.809524536132813,14.285715103149414,19.047618865966797,10,5,19.047618865966797,15.789472579956055,15.000000953674316,20,5.5982465744018555,19327352832,0,11339595776,0
