Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771430431120,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.359375,39.12601852416992,39.458740234375,39.0886116027832,41.71167755126953,41.61641311645508,NaN,0,0,0,0,0,0,0,0,0,0,5.766323566436768,19327352832,0,9980248064,0
204,1771430431121,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.359375,39.12601852416992,39.458740234375,39.0886116027832,41.71167755126953,41.61641311645508,66.66667175292969,NaN,0,0,0,NaN,0,0,0,0,0,5.766323566436768,19327352832,0,9980411904,0
204,1771430431326,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.359375,39.12601852416992,39.458740234375,39.0886116027832,41.71167755126953,41.61641311645508,36.842105865478516,20,9.523809432983398,10,14.285715103149414,9.090909004211426,0,52.38095474243164,40,33.333335876464844,57.142860412597656,5.737294673919678,19327352832,0,10033922048,0
7,1771430431531,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.359375,39.12601852416992,39.458740234375,39.0886116027832,41.71167755126953,41.61641311645508,25,14.285715103149414,10,9.090909004211426,0,0,0,25,28.571430206298828,25,20,5.737294673919678,19327352832,0,9981919232,0
