Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772022361289,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.71875,43.422054290771484,43.777259826660156,43.7737922668457,46.211944580078125,45.9492073059082,NaN,50,0,50,0,0,0,0,0,0,0,3.863572835922241,19327352832,0,10587586560,0
204,1772022361290,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.71875,43.422054290771484,43.777259826660156,43.7737922668457,46.211944580078125,45.9492073059082,0,100,0,0,0,NaN,0,0,0,0,NaN,3.863572835922241,19327352832,0,10587586560,0
204,1772022361494,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.71875,43.422054290771484,43.777259826660156,43.7737922668457,46.211944580078125,45.9492073059082,20,15.000000953674316,38.095237731933594,5,5,0,0,45,35,15.000000953674316,42.85714340209961,4.4748406410217285,19327352832,0,10587586560,0
7,1772022361699,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.71875,43.422054290771484,43.777259826660156,43.7737922668457,46.211944580078125,45.9492073059082,9.523809432983398,5.263157844543457,30.000001907348633,10,0,0,0,25,20,19.047618865966797,21.052631378173828,4.4748406410217285,19327352832,0,10587586560,0
