Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772015609888,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.525245666503906,39.62934112548828,39.60466003417969,42.0291748046875,42.07053756713867,50,NaN,0,0,0,0,50,0,0,0,0,5.340443134307861,19327352832,0,11702665216,0
203,1772015609889,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.525245666503906,39.62934112548828,39.60466003417969,42.0291748046875,42.07053756713867,NaN,100,0,100,100,0,0,0,0,0,0,5.340443134307861,19327352832,0,11702779904,0
204,1772015610093,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.525245666503906,39.62934112548828,39.60466003417969,42.0291748046875,42.07053756713867,20,80.95238494873047,0,20,0,0,5,40,36.842105865478516,60.000003814697266,31.57894515991211,5.077980041503906,19327352832,0,11726258176,0
204,1772015610298,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.525245666503906,39.62934112548828,39.60466003417969,42.0291748046875,42.07053756713867,45,52.6315803527832,65,45,25,20,19.047618865966797,71.42857360839844,85.71428680419922,80.95238494873047,76.19047546386719,5.077980041503906,19327352832,0,11726258176,0
204,1772015610503,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,39.525245666503906,39.62934112548828,39.60466003417969,42.0291748046875,42.07053756713867,55,45,95,42.105262756347656,47.619049072265625,36.842105865478516,26.3157901763916,95,94.73684692382813,90.47618865966797,90,5.077980041503906,19327352832,0,11726258176,0
204,1772015610708,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.359375,46.00960922241211,45.57853698730469,44.562416076660156,50.92228317260742,44.529754638671875,60.000003814697266,55,85,45,42.105262756347656,40,35,94.73684692382813,90,94.44444274902344,90,5.077980041503906,19327352832,0,11909431296,0
200,1772015610913,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.359375,46.00960922241211,45.57853698730469,44.562416076660156,50.92228317260742,44.529754638671875,36.842105865478516,35,77.77777862548828,35,25,20,20,78.94737243652344,85,85,83.33332824707031,5.077980041503906,19327352832,0,11909431296,0
203,1772015611114,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.359375,46.00960922241211,45.57853698730469,44.562416076660156,50.92228317260742,44.529754638671875,35,36.842105865478516,73.68421173095703,22.22222328186035,21.052631378173828,25,15.789472579956055,78.94737243652344,77.77777862548828,83.33332824707031,84.21052551269531,6.308536052703857,19327352832,0,11909431296,0
204,1772015611318,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.359375,46.00960922241211,45.57853698730469,44.562416076660156,50.92228317260742,44.529754638671875,44.4444465637207,36.842105865478516,78.94737243652344,38.095237731933594,31.57894515991211,22.22222328186035,25,80,89.47368621826172,80,83.33332824707031,6.308536052703857,19327352832,0,11909431296,0
204,1772015611523,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.359375,46.00960922241211,45.57853698730469,44.562416076660156,50.92228317260742,44.529754638671875,40,30.000001907348633,73.68421173095703,16.666667938232422,25,19.047618865966797,10.526315689086914,83.33332824707031,80,84.21052551269531,85,6.308536052703857,19327352832,0,11861835776,0
3,1772015611728,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,44.84375,52.5803108215332,51.33730697631836,50.856101989746094,58.95254898071289,47.93842315673828,55,31.57894515991211,47.36842346191406,25,20,15.789472579956055,15.000000953674316,50,65,57.894737243652344,70,6.308536052703857,19327352832,0,11634360320,0
