Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772015574817,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,38.665496826171875,38.766815185546875,38.7215461730957,41.32378387451172,41.1422004699707,100,100,0,0,50,0,0,0,0,0,0,5.470386505126953,19327352832,0,11846615040,0
203,1772015574818,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,38.665496826171875,38.766815185546875,38.7215461730957,41.32378387451172,41.1422004699707,50,50,0,100,0,100,0,0,0,0,0,5.470386505126953,19327352832,0,11846811648,0
199,1772015575022,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,38.665496826171875,38.766815185546875,38.7215461730957,41.32378387451172,41.1422004699707,55,55,50,40,36.842105865478516,20,15.000000953674316,20,20,35,36.842105865478516,5.698144435882568,19327352832,0,11933384704,0
203,1772015575222,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,38.665496826171875,38.766815185546875,38.7215461730957,41.32378387451172,41.1422004699707,57.894737243652344,52.6315803527832,68.42105102539063,45,42.85714340209961,40,31.57894515991211,63.15789031982422,65,66.66667175292969,60.000003814697266,5.698144435882568,19327352832,0,11933384704,0
199,1772015575426,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,37.59375,38.665496826171875,38.766815185546875,38.7215461730957,41.32378387451172,41.1422004699707,57.894737243652344,52.38095474243164,75,40,36.842105865478516,30.000001907348633,26.3157901763916,75,73.68421173095703,78.94737243652344,78.94737243652344,5.698144435882568,19327352832,0,11933384704,0
200,1772015575626,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.46875,43.9698486328125,43.352760314941406,43.775699615478516,47.96760559082031,43.236976623535156,57.894737243652344,47.05882263183594,75,36.842105865478516,31.57894515991211,26.3157901763916,25,75,75,73.68421173095703,73.68421173095703,5.698144435882568,19327352832,0,12006408192,0
204,1772015575827,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.46875,43.9698486328125,43.352760314941406,43.775699615478516,47.96760559082031,43.236976623535156,50,47.619049072265625,73.68421173095703,33.333335876464844,30.000001907348633,30.000001907348633,21.052631378173828,70,70,70,71.42857360839844,5.698144435882568,19327352832,0,12017369088,0
7,1772015576032,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,41.46875,43.9698486328125,43.352760314941406,43.775699615478516,47.96760559082031,43.236976623535156,47.36842346191406,42.105262756347656,55,45,35,21.052631378173828,19.047618865966797,52.6315803527832,57.894737243652344,55,57.894737243652344,7.802812576293945,19327352832,0,11835801600,0
