Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772020820796,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.426025390625,40.55546569824219,40.399322509765625,42.870506286621094,42.692779541015625,0,0,0,0,0,0,0,0,0,0,0,3.0097498893737793,19327352832,0,10509041664,0
199,1772020820796,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,38.328125,40.426025390625,40.55546569824219,40.399322509765625,42.870506286621094,42.692779541015625,NaN,0,0,50,NaN,NaN,0,0,0,0,0,3.0097498893737793,19327352832,0,10509041664,0
204,1772020820996,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,40.719905853271484,40.84354782104492,40.64205551147461,43.339839935302734,42.816375732421875,30.000001907348633,31.57894515991211,33.333335876464844,15.789472579956055,14.285715103149414,10,5.263157844543457,40,40,25,15.789472579956055,3.0097498893737793,19327352832,0,10509041664,0
204,1772020821201,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,40.719905853271484,40.84354782104492,40.64205551147461,43.339839935302734,42.816375732421875,19.047618865966797,19.047618865966797,20,5.263157844543457,5.263157844543457,5,5,19.047618865966797,20,73.68421173095703,20,3.0097498893737793,19327352832,0,10509041664,0
204,1772020821406,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,40.719905853271484,40.84354782104492,40.64205551147461,43.339839935302734,42.816375732421875,0,5,0,8.69565200805664,0,0,0,4.761904716491699,10,86.36363983154297,0,3.086057186126709,19327352832,0,10509041664,0
6,1772020821612,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,40.015625,40.719905853271484,40.84354782104492,40.64205551147461,43.339839935302734,42.816375732421875,9.523809432983398,5,0,0,0,0,0,0,61.904762268066406,0,0,3.086057186126709,19327352832,0,10519429120,0
