Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772022343794,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.4375,43.6041145324707,43.91822052001953,43.857826232910156,46.36322784423828,45.98493194580078,100,0,0,0,100,0,0,0,0,0,0,1.5890223979949951,19327352832,0,10357243904,0
204,1772022343795,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,42.4375,43.6041145324707,43.91822052001953,43.857826232910156,46.36322784423828,45.98493194580078,50,NaN,0,100,100,0,0,0,NaN,0,0,1.5890223979949951,19327352832,0,10357243904,0
204,1772022344000,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.8125,44.217491149902344,44.514591217041016,44.369972229003906,47.38212966918945,46.19001388549805,15.000000953674316,14.285715103149414,40,15.000000953674316,0,4.761904716491699,19.047618865966797,40,42.85714340209961,0,55,1.5890223979949951,19327352832,0,10430873600,0
7,1772022344205,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,4056,45.8125,44.217491149902344,44.514591217041016,44.369972229003906,47.38212966918945,46.19001388549805,10,5,31.81818199157715,0,0,0,0,20,19.047618865966797,14.285715103149414,25,1.5890223979949951,19327352832,0,10368876544,0
